,ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Time spent on fitness,Time spent on sleep,Time spent on social media,Change in your weight,Health issue during lockdown
104,R105,Delhi-NCR,21,2.0,Very poor,2.0,8.0,0.5,Increased,NO
105,R106,Outside Delhi-NCR,23,4.0,Excellent,1.0,8.0,0.3,Increased,NO
111,R112,Delhi-NCR,21,3.0,Average,0.0,11.0,2.0,Increased,YES
116,R117,Outside Delhi-NCR,24,4.0,Excellent,1.0,8.0,2.0,Increased,NO
118,R119,Outside Delhi-NCR,21,4.0,Good,2.0,7.0,2.0,Increased,NO
121,R122,Outside Delhi-NCR,23,6.0,Average,1.0,6.0,1.0,Remain Constant,NO
122,R123,Outside Delhi-NCR,21,4.0,Average,1.0,8.0,1.0,Remain Constant,NO
135,R136,Delhi-NCR,22,0.1,Poor,1.0,12.0,0.3,Increased,NO
138,R139,Outside Delhi-NCR,22,1.0,Very poor,1.0,7.0,1.0,Remain Constant,NO
151,R152,Outside Delhi-NCR,21,4.0,Very poor,1.0,8.0,2.0,Increased,NO
154,R155,Outside Delhi-NCR,21,1.0,Very poor,0.0,6.0,1.0,Decreased,YES
157,R158,Delhi-NCR,21,5.0,Average,0.0,5.0,1.0,Decreased,NO
158,R159,Delhi-NCR,21,4.0,Excellent,2.0,6.0,1.0,Remain Constant,NO
159,R160,Delhi-NCR,21,3.0,Very poor,0.0,7.0,2.0,Increased,YES
162,R163,Outside Delhi-NCR,23,0.0,Very poor,0.0,10.0,4.0,Increased,NO
163,R164,Outside Delhi-NCR,21,4.0,Very poor,1.0,8.0,1.0,Remain Constant,YES
164,R165,Delhi-NCR,22,1.0,Very poor,1.0,7.0,2.0,Increased,YES
165,R166,Delhi-NCR,23,3.0,Good,0.0,12.0,4.0,Increased,NO
166,R167,Delhi-NCR,22,4.0,Good,0.5,8.0,2.0,Increased,NO
167,R168,Outside Delhi-NCR,21,0.0,Very poor,0.0,7.0,10.0,Increased,NO
173,R174,Outside Delhi-NCR,22,1.0,Average,1.0,7.0,1.0,Remain Constant,NO
175,R176,Outside Delhi-NCR,21,0.0,Good,1.0,8.0,2.0,Decreased,YES
177,R178,Outside Delhi-NCR,22,0.0,Average,1.0,9.0,0.0,Decreased,NO
178,R179,Delhi-NCR,22,6.0,Good,1.0,8.0,4.0,Remain Constant,NO
179,R180,Outside Delhi-NCR,21,1.0,Average,2.0,7.0,2.0,Increased,NO
181,R182,Outside Delhi-NCR,21,3.0,Average,3.0,6.0,2.0,Remain Constant,NO
183,R184,Outside Delhi-NCR,22,1.0,Very poor,0.0,7.0,1.0,Remain Constant,NO
186,R187,Delhi-NCR,22,1.0,Average,0.5,11.0,1.0,Remain Constant,YES
187,R188,Outside Delhi-NCR,22,2.0,Average,0.0,8.0,3.0,Increased,NO
189,R190,Outside Delhi-NCR,21,1.0,Average,1.0,6.0,2.0,Decreased,NO
191,R192,Outside Delhi-NCR,21,3.0,Good,0.5,8.0,4.0,Remain Constant,NO
192,R193,Delhi-NCR,21,3.0,Very poor,3.0,7.0,3.0,Decreased,YES
194,R195,Outside Delhi-NCR,22,3.0,Very poor,5.0,8.0,10.0,Remain Constant,NO
196,R197,Delhi-NCR,21,4.0,Good,1.0,7.0,2.0,Remain Constant,NO
199,R200,Outside Delhi-NCR,25,2.0,Very poor,1.0,8.0,4.0,Increased,NO
201,R202,Delhi-NCR,26,5.0,Average,1.0,8.0,1.0,Remain Constant,NO
203,R204,Delhi-NCR,24,7.0,Very poor,2.0,7.0,2.0,Remain Constant,NO
204,R205,Delhi-NCR,21,0.0,Very poor,2.0,12.0,6.0,Increased,NO
220,R222,Outside Delhi-NCR,22,4.0,Average,1.0,8.0,3.0,Increased,NO
222,R224,Delhi-NCR,23,1.0,Very poor,2.0,8.0,2.0,Decreased,NO
